0.01,0.0,0.0,0.17,0.02,0.02,0.0,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.0,0.02,0.02,0.23,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.0,0.0,0.62,0.0,attack
0.0,0.0,0.0,0.5,0.02,0.02,0.08,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.01,0.01,0.0,0.17,0.02,0.02,0.08,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.04,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.17,0.02,0.02,0.04,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.5,0.02,0.02,0.08,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.33,0.02,0.02,0.04,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.33,0.02,0.02,0.0,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.5,0.02,0.02,0.35,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.15,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.5,0.02,0.02,0.08,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.06,0.0,0.55,0.17,0.02,0.02,0.5,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,1.0,0.0,attack
0.03,0.0,0.0,0.17,0.02,0.02,0.15,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.33,0.02,0.02,0.19,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.17,0.02,0.02,0.27,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.55,0.17,0.02,0.02,0.54,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.5,0.02,0.02,0.19,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.55,0.17,0.02,0.02,0.58,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.5,0.02,0.02,0.35,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.1,0.0,0.55,0.17,0.02,0.02,0.62,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.67,0.02,0.02,0.15,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.0,0.67,0.02,0.02,0.04,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.17,0.02,0.02,0.27,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.11,0.0,0.0,0.0,0.0,0.0,0.62,0.04,0.15,0.21,0.4,0.0,0.5,0.9,0.5,1.0,0.0,0.0,0.0,normal
0.06,0.0,0.0,0.5,0.02,0.02,0.27,0.04,0.15,0.21,0.4,0.0,0.0,0.9,0.5,0.5,0.0,0.62,0.0,normal
0.13,0.0,0.55,0.67,0.02,0.02,0.62,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.1,0.0,0.55,0.5,0.02,0.02,0.65,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.33,0.02,0.02,0.69,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.33,0.02,0.02,0.58,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.17,0.02,0.02,0.73,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,1.0,0.0,attack
0.15,0.0,0.0,0.0,0.0,0.0,0.58,0.04,0.15,0.21,0.4,0.0,0.5,0.9,0.5,1.0,0.0,0.0,0.0,normal
0.17,0.0,0.0,0.0,0.0,0.0,0.54,0.04,0.15,0.21,0.4,0.0,0.5,0.9,0.5,1.0,0.0,0.0,0.0,normal
0.11,0.0,0.97,0.67,0.02,0.02,0.77,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.0,0.0,0.0,normal
0.11,0.0,0.0,0.0,0.0,0.0,0.5,0.04,0.15,0.21,0.4,0.0,0.5,0.9,0.5,1.0,0.0,0.0,0.0,normal
0.18,0.0,0.55,0.33,0.02,0.02,0.54,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.2,0.0,0.55,0.67,0.02,0.02,0.58,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.33,0.02,0.02,0.81,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.5,0.02,0.02,0.85,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.67,0.02,0.02,0.81,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.11,0.0,0.55,0.33,0.02,0.02,0.88,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.15,0.0,0.55,0.5,0.02,0.02,0.77,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.77,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.67,0.02,0.02,0.88,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.0,0.0,0.0,0.0,0.73,0.04,0.15,0.21,0.4,0.0,0.5,0.9,0.5,1.0,0.0,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.81,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.0,0.0,0.0,normal
0.2,0.0,0.55,1.0,0.02,0.02,0.77,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.0,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.62,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.0,0.0,0.0,normal
0.18,0.0,0.55,0.67,0.02,0.02,0.73,0.04,0.15,0.21,0.4,0.0,0.25,0.9,0.5,0.5,0.09,0.0,0.0,normal
0.35,0.0,0.0,0.0,0.02,0.02,0.19,0.04,0.15,0.21,0.4,0.0,1.0,0.9,0.5,1.0,1.0,0.0,0.0,normal
0.37,0.0,0.0,0.0,0.02,0.02,0.5,0.04,0.15,0.21,0.4,0.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,normal
0.38,0.0,0.0,0.0,0.03,0.03,0.62,0.04,0.15,0.21,0.4,0.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,normal
0.42,0.01,0.0,0.0,0.02,0.02,0.77,0.04,0.15,0.21,0.4,0.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,normal
0.42,0.0,0.0,0.0,0.01,0.01,0.46,0.04,0.15,0.21,0.4,0.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,normal
0.52,0.0,0.0,0.0,0.01,0.01,0.5,0.04,0.15,0.21,0.4,0.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,normal
0.0,0.93,0.0,0.0,0.02,0.02,0.31,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.0,0.0,0.62,0.0,normal
0.01,0.0,0.55,0.17,0.02,0.02,0.38,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,1.0,0.0,attack
0.0,0.0,0.0,0.17,0.02,0.02,0.0,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.0,0.02,0.02,0.23,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.0,0.0,0.62,0.0,attack
0.0,0.0,0.0,0.33,0.02,0.02,0.27,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.33,0.02,0.02,0.15,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.0,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.0,0.0,0.0,0.38,0.12,0.3,0.29,0.22,0.43,0.5,0.6,0.25,1.0,0.0,0.0,0.0,normal
0.06,0.01,0.0,0.0,1.0,1.0,0.42,0.12,0.3,0.29,0.22,0.43,0.75,0.6,0.25,1.0,0.0,0.0,1.0,normal
0.0,0.0,0.0,0.33,0.02,0.02,0.12,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.07,0.01,0.0,0.0,1.0,1.0,0.42,0.12,0.3,0.29,0.22,0.43,0.75,0.6,0.25,1.0,0.0,0.0,1.0,normal
0.03,0.0,0.0,0.17,0.02,0.02,0.04,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.33,0.02,0.02,0.04,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.33,0.02,0.02,0.0,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.99,0.5,0.02,0.02,0.38,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.0,0.0,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.12,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.11,0.0,0.55,0.33,0.02,0.02,0.46,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.03,0.0,0.0,0.17,0.02,0.02,0.12,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.33,0.02,0.02,0.15,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.17,0.02,0.02,0.27,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.55,0.17,0.02,0.02,0.5,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.5,0.02,0.02,0.15,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.13,0.01,0.0,0.0,1.0,1.0,0.42,0.12,0.3,0.29,0.22,0.43,0.75,0.6,0.25,1.0,0.0,0.0,1.0,normal
0.04,0.0,0.0,0.67,0.02,0.02,0.12,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.0,0.67,0.02,0.02,0.04,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.17,0.02,0.02,0.27,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.06,0.0,0.0,0.5,0.02,0.02,0.27,0.12,0.3,0.29,0.22,0.43,0.0,0.6,0.25,0.5,0.0,0.62,0.0,normal
0.1,0.0,0.55,0.5,0.02,0.02,0.54,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.15,0.01,0.0,0.0,1.0,1.0,0.42,0.12,0.3,0.29,0.22,0.43,0.75,0.6,0.25,1.0,0.0,0.0,1.0,normal
0.14,0.0,0.55,0.33,0.02,0.02,0.58,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.17,0.02,0.02,0.62,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,1.0,0.0,attack
0.15,0.0,0.0,0.0,0.0,0.0,0.58,0.12,0.3,0.29,0.22,0.43,0.5,0.6,0.25,1.0,0.0,0.0,0.0,normal
0.17,0.0,0.0,0.0,0.0,0.0,0.5,0.12,0.3,0.29,0.22,0.43,0.5,0.6,0.25,1.0,0.0,0.0,0.0,normal
0.11,0.0,0.97,0.67,0.02,0.02,0.46,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.0,0.0,0.0,normal
0.17,0.0,0.97,0.83,0.02,0.02,0.38,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.0,0.0,0.0,normal
0.11,0.0,0.0,0.0,0.0,0.0,0.65,0.12,0.3,0.29,0.22,0.43,0.5,0.6,0.25,1.0,0.0,0.0,0.0,normal
0.18,0.0,0.55,0.33,0.02,0.02,0.5,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.2,0.0,0.55,0.67,0.02,0.02,0.58,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.33,0.02,0.02,0.69,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.5,0.02,0.02,0.73,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.67,0.02,0.02,0.69,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.18,0.01,0.0,0.0,1.0,1.0,0.42,0.12,0.3,0.29,0.22,0.43,0.75,0.6,0.25,1.0,0.0,0.0,1.0,normal
0.11,0.0,0.55,0.33,0.02,0.02,0.77,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.15,0.0,0.55,0.5,0.02,0.02,0.46,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.46,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.67,0.02,0.02,0.77,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.0,0.0,0.0,0.0,0.62,0.12,0.3,0.29,0.22,0.43,0.5,0.6,0.25,1.0,0.0,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.69,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.0,0.0,0.0,normal
0.2,0.0,0.55,1.0,0.02,0.02,0.46,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.0,0.0,0.0,normal
0.18,0.0,0.55,0.67,0.02,0.02,0.62,0.12,0.3,0.29,0.22,0.43,0.25,0.6,0.25,0.5,0.09,0.0,0.0,normal
0.35,0.0,0.0,0.0,0.02,0.02,0.15,0.12,0.3,0.29,0.22,0.43,1.0,0.6,0.25,1.0,1.0,0.0,0.0,normal
0.42,0.01,0.0,0.0,0.02,0.02,0.46,0.12,0.3,0.29,0.22,0.43,1.0,0.6,0.25,1.0,0.0,0.0,0.0,normal
0.42,0.0,0.0,0.0,0.01,0.01,0.38,0.12,0.3,0.29,0.22,0.43,1.0,0.6,0.25,1.0,0.0,0.0,0.0,normal
0.01,0.0,0.55,0.17,0.02,0.02,0.46,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,1.0,0.0,attack
0.0,0.0,0.0,0.17,0.02,0.02,0.0,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.0,0.02,0.02,0.42,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.0,0.0,0.62,0.0,attack
0.0,0.0,0.0,0.33,0.02,0.02,0.27,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.33,0.02,0.02,0.19,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.0,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.0,0.0,0.0,0.5,0.02,0.02,0.31,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.0,0.02,0.02,0.23,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.0,0.0,0.62,0.0,attack
0.0,0.0,0.0,0.5,0.02,0.02,0.08,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.01,0.01,0.0,0.17,0.02,0.02,0.08,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.01,0.01,0.0,0.33,0.02,0.02,0.31,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.33,0.02,0.02,0.31,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.17,0.02,0.02,0.04,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.5,0.02,0.02,0.08,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.33,0.02,0.02,0.04,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.33,0.02,0.02,0.0,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.5,0.02,0.02,0.35,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.01,0.0,0.0,0.17,0.02,0.02,0.15,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.33,0.02,0.02,0.31,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.5,0.02,0.02,0.08,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.06,0.0,0.55,0.17,0.02,0.02,0.5,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,1.0,0.0,attack
0.03,0.0,0.0,0.17,0.02,0.02,0.15,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.33,0.02,0.02,0.19,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.03,0.0,0.0,0.17,0.02,0.02,0.27,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.55,0.17,0.02,0.02,0.54,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.5,0.02,0.02,0.19,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.55,0.17,0.02,0.02,0.58,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.5,0.02,0.02,0.35,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.1,0.0,0.55,0.17,0.02,0.02,0.62,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,1.0,0.0,attack
0.04,0.0,0.0,0.67,0.02,0.02,0.15,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.08,0.0,0.0,0.67,0.02,0.02,0.04,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.04,0.0,0.0,0.17,0.02,0.02,0.27,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.11,0.0,0.0,0.0,0.0,0.0,0.62,0.2,0.21,0.36,0.23,0.14,0.5,0.9,0.33,1.0,0.0,0.0,0.0,normal
0.06,0.0,0.0,0.5,0.02,0.02,0.27,0.2,0.21,0.36,0.23,0.14,0.0,0.9,0.33,0.5,0.0,0.62,0.0,normal
0.11,0.0,0.55,0.5,0.02,0.02,0.65,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.67,0.02,0.02,0.62,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.1,0.0,0.55,0.5,0.02,0.02,0.69,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.33,0.02,0.02,0.65,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.15,0.0,0.55,0.5,0.02,0.02,0.73,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.33,0.02,0.02,0.58,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.17,0.0,0.55,0.5,0.02,0.02,0.77,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.17,0.02,0.02,0.81,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,1.0,0.0,attack
0.15,0.0,0.0,0.0,0.0,0.0,0.58,0.2,0.21,0.36,0.23,0.14,0.5,0.9,0.33,1.0,0.0,0.0,0.0,normal
0.17,0.0,0.0,0.0,0.0,0.0,0.54,0.2,0.21,0.36,0.23,0.14,0.5,0.9,0.33,1.0,0.0,0.0,0.0,normal
0.11,0.0,0.97,0.67,0.02,0.02,0.85,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.0,0.0,0.0,normal
0.11,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.21,0.36,0.23,0.14,0.5,0.9,0.33,1.0,0.0,0.0,0.0,normal
0.18,0.0,0.55,0.33,0.02,0.02,0.54,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.2,0.0,0.55,0.67,0.02,0.02,0.58,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.33,0.02,0.02,0.88,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.5,0.02,0.02,0.92,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.55,0.67,0.02,0.02,0.88,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.11,0.0,0.55,0.33,0.02,0.02,0.96,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.2,0.0,0.55,0.5,0.02,0.02,0.73,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.15,0.0,0.55,0.5,0.02,0.02,0.85,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.85,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.13,0.0,0.55,0.67,0.02,0.02,0.96,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.21,0.0,0.55,0.83,0.02,0.02,0.73,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.14,0.0,0.0,0.0,0.0,0.0,0.81,0.2,0.21,0.36,0.23,0.14,0.5,0.9,0.33,1.0,0.0,0.0,0.0,normal
0.25,0.0,0.55,0.67,0.02,0.02,0.77,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.0,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.88,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.0,0.0,0.0,normal
0.2,0.0,0.55,1.0,0.02,0.02,0.85,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.0,0.0,0.0,normal
0.27,0.0,0.55,0.67,0.02,0.02,0.65,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.0,0.0,0.0,normal
0.17,0.0,0.55,0.83,0.02,0.02,0.62,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.0,0.0,0.0,normal
0.28,0.0,0.55,0.5,0.02,0.02,0.96,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.18,0.0,0.55,0.67,0.02,0.02,0.81,0.2,0.21,0.36,0.23,0.14,0.25,0.9,0.33,0.5,0.09,0.0,0.0,normal
0.35,0.0,0.0,0.0,0.02,0.02,0.19,0.2,0.21,0.36,0.23,0.14,1.0,0.9,0.33,1.0,1.0,0.0,0.0,normal
0.37,0.0,0.0,0.0,0.02,0.02,0.5,0.2,0.21,0.36,0.23,0.14,1.0,0.9,0.33,1.0,0.0,0.0,0.0,normal
0.38,0.0,0.0,0.0,0.03,0.03,0.62,0.2,0.21,0.36,0.23,0.14,1.0,0.9,0.33,1.0,0.0,0.0,0.0,normal
0.52,0.0,0.0,0.0,0.01,0.01,0.5,0.2,0.21,0.36,0.23,0.14,1.0,0.9,0.33,1.0,0.0,0.0,0.0,normal
